id_name,Recency,Frequency,Monetary_Value,cluster
418,25,73,11137,2
419,34,58,9032,1
420,26,61,10498,2
421,22,55,9033,1
422,28,48,8260,1
423,25,65,11209,2
424,37,61,9751,1
425,35,75,11483,2
426,22,77,12608,2
427,25,56,8965,1
428,28,52,7569,1
429,29,60,8875,1
430,26,44,6781,1
431,31,67,9403,2
432,35,95,14327,2
433,22,60,9586,2
434,27,77,11969,2
435,27,78,12481,2
436,22,54,6915,1
437,31,82,12015,2
438,30,71,10953,2
439,25,84,12292,2
440,23,63,9417,2
441,26,77,12317,2
442,22,59,8651,1
443,27,78,12291,2
444,27,55,7919,1
445,27,54,8043,1
446,22,72,11700,2
447,33,48,7852,1
448,37,99,14376,2
449,37,72,11593,2
450,38,50,7962,1
451,28,78,12147,2
452,27,69,11355,2
453,29,76,11553,2
454,31,108,17015,2
455,30,77,14226,2
456,31,64,9588,2
457,24,63,9661,2
458,27,58,9080,1
459,29,60,9239,1
460,40,56,9633,1
461,27,83,12527,2
462,25,91,15048,2
463,38,73,12460,2
464,28,60,9183,1
465,42,59,9355,1
466,36,58,8960,1
467,24,85,12715,2
468,32,70,10602,2
469,37,48,7452,1
470,29,63,9404,2
471,25,56,8316,1
472,38,69,10998,2
473,24,67,10631,2
474,32,80,13378,2
475,27,71,9929,2
476,32,69,10617,2
477,38,66,10841,2
478,53,52,8698,1
479,23,60,9557,2
480,22,67,10463,2
481,27,56,9882,1
482,22,81,13091,2
483,29,92,14637,2
484,44,65,10728,2
485,22,85,13832,2
486,30,77,12933,2
487,22,82,12690,2
488,21,58,9998,2
489,25,83,14055,2
490,22,59,9271,2
491,34,65,10041,2
492,34,68,10201,2
493,27,62,9348,2
494,25,67,10892,2
495,30,76,12379,2
496,28,44,7195,1
497,28,35,5755,1
498,24,61,9239,2
499,28,65,10126,2
500,37,50,8206,1
501,30,36,4491,1
502,23,77,11641,2
503,30,76,12191,2
504,28,61,8921,1
505,25,55,8326,1
506,29,67,10750,2
507,33,64,9760,2
508,27,54,8092,1
509,43,73,10817,2
510,32,62,9479,2
511,29,57,7457,1
512,38,81,13118,2
513,31,76,12654,2
514,29,77,12318,2
515,29,65,10517,2
516,37,52,8338,1
517,31,47,7363,1
518,25,62,8964,2
519,29,49,8272,1
520,30,47,7265,1
521,34,48,7605,1
522,37,83,13854,2
523,30,60,8942,1
524,36,70,11118,2
525,26,76,12422,2
526,27,85,12842,2
527,29,64,9667,2
528,26,53,7649,1
529,27,48,7551,1
530,43,57,9108,1
531,33,66,10869,2
532,31,69,10354,2
533,32,48,7313,1
534,36,29,5001,1
535,39,58,8715,1
536,32,48,7253,1
537,28,77,11116,2
538,39,62,8666,1
539,25,91,14719,2
540,25,68,10904,2
541,48,82,13078,2
542,26,69,10038,2
543,30,63,10487,2
544,34,63,10721,2
545,31,71,10657,2
546,26,79,12526,2
547,37,48,7418,1
548,31,68,10032,2
549,30,61,9533,2
550,50,69,10494,2
551,32,65,10568,2
552,26,79,11955,2
553,39,56,8784,1
554,31,48,7925,1
555,24,66,10753,2
556,33,78,12713,2
557,21,59,9493,2
558,33,70,12850,2
559,26,91,13609,2
560,32,65,9972,2
561,47,62,9070,1
562,42,64,10188,2
563,21,54,9116,1
564,25,78,12622,2
565,23,88,13396,2
566,52,55,8940,1
567,28,49,8290,1
568,43,64,10405,2
569,29,76,12097,2
570,31,72,12033,2
571,27,62,9106,2
572,33,57,9033,1
573,34,77,11438,2
574,34,42,7090,1
575,24,46,7916,1
576,23,63,9739,2
577,24,86,13189,2
578,25,61,9086,2
579,27,42,6837,1
580,31,43,6990,1
581,36,58,9345,1
582,25,87,14065,2
583,28,86,13667,2
584,29,90,15010,2
585,36,78,12171,2
586,24,79,12223,2
587,26,88,12613,2
588,32,67,10246,2
589,38,70,11008,2
590,37,57,8910,1
591,24,58,9033,1
592,22,62,9511,2
593,32,74,10954,2
594,23,77,11020,2
595,38,79,12722,2
596,27,72,10835,2
597,24,58,7980,1
598,27,51,8543,1
599,27,88,13574,2
600,40,43,6459,1
601,28,58,8988,1
602,30,43,6505,1
603,26,55,7839,1
604,32,67,10050,2
605,25,55,8878,1
606,24,63,11290,2
607,53,56,8563,1
608,21,67,10273,2
609,39,54,7300,1
610,24,42,6511,1
611,37,84,13623,2
612,35,87,12802,2
613,33,36,5968,1
614,29,69,10333,2
615,24,57,9225,1
616,32,74,11935,2
617,30,91,13468,2
618,41,96,15635,2
619,27,58,9566,2
620,35,51,7498,1
621,26,43,6739,1
622,25,77,10688,2
623,30,51,7259,1
624,25,60,10801,2
625,39,46,6068,1
626,30,72,10651,2
627,33,74,11167,2
628,25,66,11393,2
629,26,68,11425,2
630,21,78,12183,2
631,29,69,10904,2
632,39,88,13778,2
633,32,69,10402,2
634,29,61,9147,1
635,31,69,10466,2
636,29,67,11124,2
637,27,94,15160,2
638,28,83,12956,2
639,33,53,7937,1
640,27,79,11950,2
641,22,87,12774,2
642,33,53,7521,1
643,46,56,8076,1
644,38,65,9939,2
645,33,50,7975,1
646,21,93,14108,2
647,31,73,10547,2
648,25,61,9718,2
649,32,70,9510,2
650,31,66,9004,2
651,26,66,10047,2
652,29,64,9083,2
653,28,44,5923,1
654,30,70,10372,2
655,27,60,9899,2
656,33,64,9944,2
657,28,73,10913,2
658,28,66,11316,2
659,21,71,10669,2
660,27,64,9527,2
661,31,55,8458,1
662,26,61,10464,2
663,21,67,10302,2
664,46,50,8343,1
665,37,46,7233,1
666,27,43,6841,1
667,41,62,10356,2
668,27,86,14379,2
669,34,54,9142,1
670,42,66,10311,2
671,35,67,10806,2
672,44,60,8915,1
673,31,72,12288,2
674,30,66,10697,2
675,37,94,15332,2
676,22,77,12500,2
677,28,76,12631,2
678,25,89,14298,2
679,27,75,10666,2
680,30,67,10417,2
681,23,58,9190,2
682,22,64,10214,2
683,32,67,11252,2
684,23,50,9011,1
685,24,106,15922,2
686,32,58,9467,1
687,33,68,10299,2
688,27,63,9934,2
689,25,74,11014,2
690,37,74,11369,2
691,42,45,6444,1
692,30,55,8289,1
693,31,53,8484,1
694,27,58,9225,1
695,28,63,10690,2
696,26,73,11133,2
697,28,64,9861,2
698,30,49,7240,1
699,37,55,9110,1
700,34,57,8605,1
701,42,51,8950,1
702,23,87,13184,2
703,39,37,5342,1
704,25,47,6871,1
705,40,75,12365,2
706,30,55,7871,1
707,27,40,6460,1
708,31,77,11755,2
709,30,55,8956,1
710,26,68,10167,2
711,25,55,7865,1
712,25,62,10718,2
713,33,74,11942,2
714,31,69,11540,2
715,30,69,10067,2
716,22,71,11310,2
717,32,61,8748,1
718,28,55,7708,1
719,27,70,10198,2
720,24,43,7382,1
721,30,43,6823,1
722,30,84,11903,2
723,37,64,10447,2
724,23,55,8949,1
725,27,76,12482,2
726,25,63,9532,2
727,31,64,10315,2
728,31,66,11102,2
729,22,60,9672,2
730,24,73,12059,2
731,33,68,10159,2
732,46,57,9004,1
733,31,50,7986,1
734,39,66,10006,2
735,51,57,9231,1
736,32,79,13137,2
737,49,55,7796,1
738,39,65,10200,2
739,30,58,10092,2
740,29,60,9034,1
741,31,42,6927,1
742,31,68,10226,2
743,36,45,7274,1
744,25,72,11862,2
745,39,48,7537,1
746,29,62,9168,2
747,26,77,11698,2
748,29,83,12843,2
749,29,70,10721,2
750,29,47,7935,1
751,23,58,9414,2
752,37,61,10498,2
753,42,55,8794,1
754,24,76,11354,2
755,26,77,11811,2
756,27,56,9925,2
757,30,101,16632,2
758,46,58,9417,1
759,29,72,11557,2
760,38,71,11138,2
761,29,58,8819,1
762,32,60,9326,1
763,27,68,11923,2
764,26,34,5575,1
765,37,55,7694,1
766,30,74,11312,2
767,33,59,8795,1
768,41,45,7840,1
769,34,71,11158,2
770,29,77,12053,2
771,22,92,14883,2
772,28,64,10348,2
773,27,69,9413,2
774,37,79,11327,2
775,25,47,7972,1
776,27,60,9425,2
777,26,56,8351,1
778,25,41,6320,1
779,33,54,9138,1
780,57,54,7962,1
781,23,74,11774,2
782,32,59,10064,2
783,36,63,9943,2
784,29,69,10409,2
785,31,86,12572,2
786,31,41,6483,1
787,34,48,6874,1
788,35,58,8659,1
789,28,39,5689,1
790,22,62,9489,2
791,26,83,12972,2
792,43,69,10495,2
793,28,61,9344,2
794,32,56,9319,1
